id,sequence,domain,response_type,task,choices,response,confidence,is_correct,task_type,condition,validity,believability,conflict,stimulus,qnum,total_qnum,rt,logRT,rt_for,statementEval
63873,1,conditional,single-choice,All B are C/No A are C,Yes/No,No,99.0,0,MT,Standard,Valid,Unbelievable,Conflict,<p>All vehicles need fuel.</p><p>Bicycles do not need fuel.</p>,8,125,5001.89999997616,8.51757311922976,3433.70000004768,2
63873,2,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,100.0,1,MP,Standard,Valid,Believable,No-conflict,<p>All dogs have snouts.</p><p>Labradors are dogs.</p>,3,17,4926.89999997616,8.50246526600679,2469.39999997616,8
63873,3,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,100.0,0,AC,Standard,Invalid,Believable,Conflict,<p>All humans have skin.</p><p>Newborns have skin.</p>,8,49,208.100000023842,5.33801873351416,4133.39999997616,10
63873,4,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,100.0,1,MP,Standard,Valid,Believable,No-conflict,<p>All birds have feathers.</p><p>Parrots are birds.</p>,7,7,1751.20000004768,7.46805654623588,2200.10000002384,9
63873,5,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,99.0,0,DA,Standard,Invalid,Believable,Conflict,<p>All things that are smoked are bad for your health.</p><p>Salad is not smoked.</p>,3,105,4714.69999992847,8.4584405663049,2325.10000002384,9
63873,6,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,100.0,1,MT,Standard,Valid,Unbelievable,Conflict,<p>All metals are solid.</p><p>Mercury is not solid.</p>,2,73,2476.40000009537,7.81456117168359,2192.20000004768,7
63873,7,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,100.0,1,MP,Standard,Valid,Unbelievable,Conflict,<p>All trees will become tall.</p><p>Bonsai are trees.</p>,3,120,1432.90000009537,7.26745564178911,2411.39999997616,9
63873,8,conditional,single-choice,All B are C/No A are B,Yes/No,No,100.0,1,DA,Standard,Invalid,Unbelievable,No-conflict,<p>All birds can fly.</p><p>Planes are not birds.</p>,4,6,8750.19999992847,9.07683183622512,1882.69999992847,0
63873,9,conditional,single-choice,All B are C/All A are C,Yes/No,No,100.0,1,AC,Standard,Invalid,Unbelievable,No-conflict,<p>All lemons are citruses.</p><p>Oranges are citruses.</p>,6,60,1934.0,7.56734567601324,2676.70000004768,0
63873,10,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,100.0,1,MT,Standard,Valid,Believable,No-conflict,<p>All glass objects are fragile.</p><p>Sofas are not fragile.</p>,8,35,1719.09999990463,7.44955617699197,1715.10000002384,7
63873,11,conditional,single-choice,All B are C/No A are B,Yes/No,No,100.0,1,DA,Standard,Invalid,Unbelievable,No-conflict,<p>All metal is hard to break.</p><p>Bricks are not metal.</p>,7,69,7507.69999992847,8.92368443951976,2118.0,4
63873,12,conditional,single-choice,All B are C/All A are C,Yes/No,No,100.0,1,AC,Standard,Invalid,Unbelievable,No-conflict,<p>All mammals can walk.</p><p>Birds can walk.</p>,2,63,3039.5,8.01944830718878,1848.39999997616,0
63873,13,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,100.0,0,DA,Standard,Invalid,Believable,Conflict,<p>All fruits can be eaten.</p><p>Knives are not fruits.</p>,1,28,1836.5,7.51561686525972,1716.39999997616,10
63873,14,conditional,single-choice,All B are C/No A are B,Yes/No,No,100.0,1,DA,Standard,Invalid,Believable,Conflict,<p>All Scandinavian countries are cold.</p><p>Indonesia is not a Scandinavian country.</p>,5,82,5040.5,8.525260562494,1898.90000009537,2
63873,15,conditional,single-choice,All B are C/No A are B,Yes/No,No,100.0,1,DA,Standard,Invalid,Unbelievable,No-conflict,<p>All plants need sunlight.</p><p>Solar panels are not plants.</p>,8,79,4631.09999990463,8.44054969983531,2315.5,2
63873,16,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,100.0,1,MT,Standard,Valid,Believable,No-conflict,<p>All sports require equipment.</p><p>Talking does not require equipment.</p>,3,90,8170.60000002384,9.00829762457291,1792.09999990463,10
63873,17,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,100.0,1,MP,Standard,Valid,Unbelievable,Conflict,<p>All trees grow leaves.</p><p>Pines are trees.</p>,7,112,4330.80000007153,8.37350756145326,1985.79999995232,1
63873,18,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,100.0,1,MP,Standard,Valid,Unbelievable,Conflict,<p>All fuel is liquid.</p><p>Coal is fuel.</p>,6,31,4200.89999997616,8.34305406702417,1604.20000004768,3
63873,19,conditional,single-choice,All B are C/All A are C,Yes/No,No,81.0,1,AC,Standard,Invalid,Unbelievable,No-conflict,<p>All fish swim.</p><p>Dolphins swim.</p>,5,20,6591.70000004768,8.79356656085221,3870.0,0
63873,20,conditional,single-choice,All B are C/All A are B,Yes/No,No,100.0,0,MP,Standard,Valid,Unbelievable,Conflict,<p>All things that need oxygen have lungs.</p><p>Fire needs oxygen.</p>,4,111,3355.79999995232,8.11844547104139,1936.79999995232,0
63873,21,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,100.0,1,MP,Standard,Valid,Believable,No-conflict,<p>All flowers need air.</p><p>Daisies are flowers.</p>,5,22,2534.69999992847,7.83783056579869,1851.19999992847,9
63873,22,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,100.0,0,AC,Standard,Invalid,Believable,Conflict,<p>All dogs have snouts.</p><p>Labradors have snouts.</p>,4,18,203.899999976158,5.31762967746348,1924.0,10
63873,23,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,100.0,1,MT,Standard,Valid,Unbelievable,Conflict,<p>All metal is hard to break.</p><p>Aluminum foil is not hard to break.</p>,7,68,4272.70000004768,8.36000122490589,1757.5,3
63873,24,conditional,single-choice,All B are C/No A are B,Yes/No,No,100.0,1,DA,Standard,Invalid,Unbelievable,No-conflict,<p>All things that need oxygen have lungs.</p><p>Dead people don't need oxygen.</p>,3,110,5103.39999997616,8.53766226325091,1941.0,2
63873,25,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,100.0,1,MP,Standard,Valid,Unbelievable,Conflict,<p>All citruses are sour.</p><p>Oranges are citruses.</p>,8,13,5637.59999990463,8.6372137219959,1861.29999995232,9
