item_id,nunique_condition,first_condition,nunique_task_type,first_task_type,nunique_task_formal,first_task_formal,nunique_validity,first_validity,nunique_validity_binary,first_validity_binary,nunique_believability,first_believability,nunique_conflict,first_conflict,nunique_stimulus,first_stimulus,is_consistent
1,1,Neutral,1,MT,1,All B are C/No A are C,1,Valid,1,1,1,Believable,1,No-conflict,1,<p>All African countries are clett.</p><p>The North Pole is not clett.</p>,True
2,1,Standard,1,DA,1,All B are C/No A are B,1,Invalid,1,0,1,Believable,1,Conflict,1,<p>All African countries are warm.</p><p>The North Pole is not an African country.</p>,True
3,1,Standard,1,MT,1,All B are C/No A are C,1,Valid,1,1,1,Believable,1,No-conflict,1,<p>All African countries are warm.</p><p>The North Pole is not warm.</p>,True
4,1,Neutral,1,MT,1,All B are C/No A are C,1,Valid,1,1,1,Unbelievable,1,Conflict,1,<p>All birds can chid.</p><p>Penguins cannot chid.</p>,True
5,1,Standard,1,MT,1,All B are C/No A are C,1,Valid,1,1,1,Unbelievable,1,Conflict,1,<p>All birds can fly.</p><p>Penguins cannot fly.</p>,True
6,1,Standard,1,DA,1,All B are C/No A are B,1,Invalid,1,0,1,Unbelievable,1,No-conflict,1,<p>All birds can fly.</p><p>Planes are not birds.</p>,True
7,1,Standard,1,MP,1,All B are C/All A are B,1,Valid,1,1,1,Believable,1,No-conflict,1,<p>All birds have feathers.</p><p>Parrots are birds.</p>,True
8,1,Standard,1,AC,1,All B are C/All A are C,1,Invalid,1,0,1,Believable,1,Conflict,1,<p>All birds have feathers.</p><p>Parrots have feathers.</p>,True
9,1,Neutral,1,AC,1,All B are C/All A are C,1,Invalid,1,0,1,Believable,1,Conflict,1,<p>All birds have spuckes.</p><p>Parrots have spuckes.</p>,True
10,1,Neutral,1,DA,1,All B are C/No A are B,1,Invalid,1,0,1,Unbelievable,1,No-conflict,1,<p>All broans can fly.</p><p>Planes are not broans.</p>,True
11,1,Neutral,1,MP,1,All B are C/All A are B,1,Valid,1,1,1,Believable,1,No-conflict,1,<p>All broans have feathers.</p><p>Parrots are broans.</p>,True
12,1,Neutral,1,MP,1,All B are C/All A are B,1,Valid,1,1,1,Believable,1,No-conflict,1,<p>All brubs can be used as fuel.</p><p>Trees are brubs.</p>,True
13,1,Standard,1,MP,1,All B are C/All A are B,1,Valid,1,1,1,Unbelievable,1,Conflict,1,<p>All citruses are sour.</p><p>Oranges are citruses.</p>,True
14,1,Neutral,1,MT,1,All B are C/No A are C,1,Valid,1,1,1,Believable,1,No-conflict,1,<p>All cycling requires mirts.</p><p>Swimming does not require mirts.</p>,True
15,1,Standard,1,MT,1,All B are C/No A are C,1,Valid,1,1,1,Believable,1,No-conflict,1,<p>All cycling requires shoes.</p><p>Swimming does not require shoes.</p>,True
16,1,Standard,1,DA,1,All B are C/No A are B,1,Invalid,1,0,1,Believable,1,Conflict,1,<p>All cycling requires shoes.</p><p>Swimming is not cycling.</p>,True
17,1,Standard,1,MP,1,All B are C/All A are B,1,Valid,1,1,1,Believable,1,No-conflict,1,<p>All dogs have snouts.</p><p>Labradors are dogs.</p>,True
18,1,Standard,1,AC,1,All B are C/All A are C,1,Invalid,1,0,1,Believable,1,Conflict,1,<p>All dogs have snouts.</p><p>Labradors have snouts.</p>,True
19,1,Neutral,1,AC,1,All B are C/All A are C,1,Invalid,1,0,1,Believable,1,Conflict,1,<p>All dogs have zems.</p><p>Labradors have zems.</p>,True
20,1,Standard,1,AC,1,All B are C/All A are C,1,Invalid,1,0,1,Unbelievable,1,No-conflict,1,<p>All fish swim.</p><p>Dolphins swim.</p>,True
21,1,Neutral,1,AC,1,All B are C/All A are C,1,Invalid,1,0,1,Unbelievable,1,No-conflict,1,<p>All fish varl.</p><p>Dolphins varl.</p>,True
22,1,Standard,1,MP,1,All B are C/All A are B,1,Valid,1,1,1,Believable,1,No-conflict,1,<p>All flowers need air.</p><p>Daisies are flowers.</p>,True
23,1,Standard,1,AC,1,All B are C/All A are C,1,Invalid,1,0,1,Believable,1,Conflict,1,<p>All flowers need air.</p><p>Daisies need air.</p>,True
24,1,Neutral,1,AC,1,All B are C/All A are C,1,Invalid,1,0,1,Believable,1,Conflict,1,<p>All flowers need grurm.</p><p>Daisies need grurm.</p>,True
