id,sequence,domain,response_type,task,choices,response,task_type,response_int,response_ref,correct_int,correct_ref,for_int,for_ref,rt_int,rt_ref,validity,believability,conflict,response_changed,accuracy_gain,for_change,rt_change,condition,stimulus,qnum,total_qnum
69594,1,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,80.0,84.0,2822.5,998.700000047684,1,1,0,0,0,4.0,-1823.799999952316,A,<p>All trees have roots.</p><p>Oaks are trees.</p>,2,116
69594,2,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,AC,Yes,Yes,0,0,100.0,100.0,4159.79999995232,2344.79999995232,0,1,1,0,0,0.0,-1815.0,A,<p>All birds have spuckes.</p><p>Parrots have spuckes.</p>,7,11
69594,3,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,82.0,82.0,5332.60000014305,1003.59999990463,1,1,0,0,0,0.0,-4329.00000023842,A,<p>All glass objects are sarky.</p><p>Sofas are not sarky.</p>,8,40
69594,4,conditional,single-choice,All B are C/All A are B,Yes/No,No,MP,No,Yes,0,1,100.0,99.0,4258.30000019073,2575.5,1,0,1,1,1,-1.0,-1682.8000001907303,A,<p>All mammals can walk.</p><p>Whales are mammals.</p>,1,67
69594,5,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,No,1,1,80.0,68.0,4864.89999985695,897.599999904633,0,0,0,0,0,-12.0,-3967.2999999523167,A,<p>All lemons are kelcks.</p><p>Oranges are kelcks.</p>,6,64
69594,6,conditional,single-choice,All B are C/No A are C,Yes/No,No,MT,No,Yes,0,1,64.0,88.0,2940.40000009537,1932.70000004768,1,1,0,1,1,24.0,-1007.7000000476901,A,<p>All animals can slourb.</p><p>Mushrooms cannot slourb.</p>,6,5
69594,7,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,Yes,1,0,92.0,88.0,6276.29999995232,2971.20000004768,0,0,0,1,-1,-4.0,-3305.09999990464,A,<p>All things that need oxygen have lungs.</p><p>Dead people don't need oxygen.</p>,3,112
69594,8,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,79.0,70.0,2986.90000009537,323.599999904633,1,1,0,0,0,-9.0,-2663.300000190737,A,<p>All suldes have skin.</p><p>Newborns are suldes.</p>,8,96
69594,9,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,89.0,100.0,3204.79999995232,1152.5,0,0,0,0,0,11.0,-2052.29999995232,A,<p>All birds can fly.</p><p>Planes are not birds.</p>,4,8
69594,10,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,AC,Yes,Yes,0,0,80.0,83.0,2877.0,253.900000095367,0,1,1,0,0,3.0,-2623.099999904633,A,<p>All dogs have snouts.</p><p>Labradors have snouts.</p>,4,20
69594,11,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,AC,Yes,Yes,0,0,87.0,69.0,1552.09999990463,438.100000143051,0,1,1,0,0,-18.0,-1113.9999997615791,A,<p>All trees have roots.</p><p>Oaks have roots.</p>,1,117
69594,12,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,No,1,0,73.0,88.0,2679.89999985695,1281.5,1,0,1,1,-1,15.0,-1398.3999998569502,A,<p>All mammals have bribbs.</p><p>Hedgehogs don't have bribbs.</p>,5,68
69594,13,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,AC,Yes,Yes,0,0,100.0,100.0,2617.39999985695,365.0,0,1,1,0,0,0.0,-2252.39999985695,A,<p>All flowers need water.</p><p>Roses need water.</p>,2,29
69594,14,conditional,single-choice,All B are C/No A are C,Yes/No,No,MT,No,Yes,0,1,86.0,90.0,3669.89999985695,1039.09999990463,1,1,0,1,1,4.0,-2630.79999995232,A,<p>All fruits can be eaten.</p><p>Knives cannot be eaten.</p>,2,32
69594,15,conditional,single-choice,All B are C/No A are C,Yes/No,No,MT,No,Yes,0,1,76.0,94.0,2837.09999990463,869.099999904633,1,0,1,1,1,18.0,-1967.9999999999968,A,<p>All birds can fly.</p><p>Penguins cannot fly.</p>,1,7
69594,16,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,82.0,92.0,4436.20000004768,278.100000143051,1,1,0,0,0,10.0,-4158.099999904629,A,<p>All greembs have branches.</p><p>Maples are greembs.</p>,6,43
69594,17,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,AC,Yes,No,0,1,86.0,80.0,2480.59999990463,1807.5,0,0,0,1,1,-6.0,-673.0999999046298,A,<p>All lava is rhully.</p><p>Water is rhully.</p>,7,62
69594,18,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,88.0,78.0,3844.79999995232,1109.29999995232,0,0,0,0,0,-10.0,-2735.5,A,<p>All hirks have teeth.</p><p>Sharks are not hirks.</p>,5,47
69594,19,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,DA,Yes,No,0,1,90.0,96.0,3372.5,983.699999809265,0,1,1,1,1,6.0,-2388.800000190735,A,<p>All African countries are warm.</p><p>The North Pole is not an African country.</p>,2,2
69594,20,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,85.0,97.0,2295.69999980927,798.0,0,0,0,0,0,12.0,-1497.6999998092701,A,<p>All slifth is liquid.</p><p>Water is not slifth.</p>,6,89
69594,21,conditional,single-choice,All B are C/All A are B,Yes/No,No,MP,No,Yes,0,1,97.0,95.0,3383.5,1191.90000009537,1,0,1,1,1,-2.0,-2191.59999990463,A,<p>All reptiles have four limbs.</p><p>Snakes are reptiles.</p>,3,82
69594,22,conditional,single-choice,All B are C/All A are B,Yes/No,No,MP,No,No,0,0,88.0,82.0,2684.20000004768,677.900000095367,1,1,0,0,0,-6.0,-2006.299999952313,A,<p>All krirks need air.</p><p>Daisies are krirks.</p>,5,58
69594,23,conditional,single-choice,All B are C/All A are B,Yes/No,No,MP,No,No,0,0,92.0,99.0,3777.10000014305,1418.40000009537,1,0,1,0,0,7.0,-2358.70000004768,A,<p>All greembs are sweet.</p><p>Lemon is a greemb.</p>,7,42
69594,24,conditional,single-choice,All B are C/All A are B,Yes/No,No,MP,No,Yes,0,1,88.0,100.0,5576.09999990463,587.700000047684,1,0,1,1,1,12.0,-4988.399999856946,A,<p>All jilms are sour.</p><p>Mandarins are jilms.</p>,8,55
69594,25,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,95.0,100.0,3709.20000004768,1165.0,0,0,0,0,0,5.0,-2544.20000004768,A,<p>All joughts are green.</p><p>Solar panels are not joughts.</p>,8,57
69594,26,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,AC,Yes,Yes,0,0,95.0,100.0,2877.20000004768,1623.70000004768,0,1,1,0,0,5.0,-1253.5,A,<p>All flowers need grurm.</p><p>Daisies need grurm.</p>,5,26
69594,27,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,No,1,1,88.0,100.0,3714.5,900.0,0,0,0,0,0,12.0,-2814.5,A,<p>All things made of metal shine.</p><p>Diamonds shine.</p>,3,101
69594,28,conditional,single-choice,All B are C/All A are B,Yes/No,No,MP,No,Yes,0,1,93.0,99.0,3800.0,4256.39999985695,1,1,0,1,1,6.0,456.39999985694976,A,<p>All things made of wood can be used as fuel.</p><p>Trees are made of wood.</p>,4,103
69594,29,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,94.0,99.0,3741.29999995232,3488.5,1,0,1,0,0,5.0,-252.79999995231992,A,<p>All sherg is liquid.</p><p>Coal is sherg.</p>,6,87
69594,30,conditional,single-choice,All B are C/No A are C,Yes/No,No,MT,No,No,0,0,94.0,98.0,6553.0,314.099999904633,1,0,1,0,0,4.0,-6238.900000095367,A,<p>All metal is urbes.</p><p>Aluminum foil is not urbes.</p>,7,73
69594,31,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,DA,Yes,Yes,0,0,90.0,97.0,4324.70000004768,1304.29999995232,0,1,1,0,0,7.0,-3020.40000009536,A,<p>All things that are smoked are bad for your health.</p><p>Salad is not smoked.</p>,3,107
69594,32,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,AC,Yes,Yes,0,0,92.0,96.0,4118.70000004768,3001.80000019073,0,1,1,0,0,4.0,-1116.8999998569502,A,<p>All things made of wood can be used as fuel.</p><p>Trees can be used as fuel.</p>,3,104
69594,33,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,DA,Yes,Yes,0,0,96.0,98.0,3673.90000009537,1555.70000004768,0,1,1,0,0,2.0,-2118.20000004769,A,<p>All yempting requires shoes.</p><p>Swimming is not yempting.</p>,7,128
69594,34,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,No,1,1,91.0,94.0,4585.70000004768,5895.39999985695,0,0,0,0,0,3.0,1309.6999998092697,A,<p>All trees will become tall.</p><p>Skyscrapers under construction will become tall.</p>,4,121
69594,35,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,DA,Yes,No,0,1,85.0,97.0,2597.39999985695,3675.29999995232,0,1,1,1,1,12.0,1077.9000000953697,A,<p>All fruits can be eaten.</p><p>Knives are not fruits.</p>,1,31
69594,36,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,94.0,98.0,4326.59999990463,6209.79999995232,1,1,0,0,0,4.0,1883.20000004769,A,<p>All sports require equipment.</p><p>Talking does not require equipment.</p>,3,92
69594,37,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,99.0,100.0,3240.79999995232,568.099999904633,1,1,0,0,0,1.0,-2672.700000047687,A,<p>All flowers need water.</p><p>Roses are flowers.</p>,1,28
69594,38,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,98.0,98.0,3322.0,624.299999952316,1,0,1,0,0,0.0,-2697.7000000476837,A,<p>All metals are solid.</p><p>Mercury is not solid.</p>,2,76
69594,39,conditional,single-choice,All B are C/All A are B,Yes/No,No,MP,No,Yes,0,1,89.0,100.0,4622.69999980927,4927.20000004768,1,0,1,1,1,11.0,304.5000002384104,A,<p>All things that need oxygen have lungs.</p><p>Fire needs oxygen.</p>,4,113
69594,40,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,No,1,1,96.0,100.0,4617.10000014305,2346.90000009537,0,0,0,0,0,4.0,-2270.20000004768,A,<p>All plants need draks.</p><p>Solar panels need draks.</p>,8,79
69594,41,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,AC,Yes,No,0,1,94.0,100.0,5143.59999990463,4197.40000009537,0,0,0,1,1,6.0,-946.1999998092597,A,<p>All fish varl.</p><p>Turtles varl.</p>,5,23
69594,42,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,94.0,100.0,3029.79999995232,733.400000095367,1,1,0,0,0,6.0,-2296.399999856953,A,<p>All dogs have snouts.</p><p>Labradors are dogs.</p>,3,19
69594,43,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,97.0,100.0,3908.70000004768,836.5,1,1,0,0,0,3.0,-3072.20000004768,A,<p>All broans have feathers.</p><p>Parrots are broans.</p>,7,13
69594,44,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,92.0,100.0,4820.60000014305,1085.89999985695,1,0,1,0,0,8.0,-3734.7000002861005,A,<p>All things made of metal shine.</p><p>Old pennies don't shine</p>,4,102
69594,45,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,95.0,100.0,4564.20000004768,908.300000190735,1,0,1,0,0,5.0,-3655.899999856945,A,<p>All vehicles need rorgs.</p><p>Bicycles do not need rorgs.</p>,8,126
69594,46,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,87.0,100.0,5057.09999990463,12572.0,0,0,0,0,0,13.0,7514.90000009537,A,<p>All smolns are hard to break.</p><p>Bricks are not smolns.</p>,7,90
69594,47,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,90.0,97.0,4478.5,3833.59999990463,0,0,0,0,0,7.0,-644.9000000953702,A,<p>All metals are solid.</p><p>Ceramic is not a metal.</p>,1,75
69594,48,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,72.0,100.0,4622.0,3195.09999990463,0,1,1,0,0,28.0,-1426.9000000953702,A,<p>All worbl objects are fragile.</p><p>Hammers are not made of worbl.</p>,8,127
69594,49,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,No,1,0,88.0,20.0,3313.5,2508.20000004768,1,1,0,1,-1,-68.0,-805.2999999523199,A,<p>All Scandinavian countries are volmy.</p><p>Indonesia is not volmy.</p>,5,86
69594,50,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,AC,Yes,Yes,0,0,82.0,86.0,5321.20000004768,9901.60000014305,0,0,0,0,0,4.0,4580.400000095369,A,<p>All vehicles have wheels.</p><p>Trolley suitcases have wheels.</p>,1,124
69594,51,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,92.0,100.0,4036.80000019073,573.0,1,0,1,0,0,8.0,-3463.80000019073,A,<p>All skoges have legs.</p><p>Snakes are skoges.</p>,5,88
69594,52,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,100.0,100.0,2936.40000009537,,1,1,0,0,0,0.0,,A,<p>All cycling requires mirts.</p><p>Swimming does not require mirts.</p>,7,16
69594,53,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,DA,Yes,Yes,0,0,96.0,100.0,4444.09999990463,533.700000047684,0,0,0,0,0,4.0,-3910.399999856946,A,<p>All vehicles have wheels.</p><p>Trolley suitcases are not vehicles.</p>,2,123
69594,54,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,DA,Yes,Yes,0,0,86.0,88.0,6361.10000014305,,0,1,1,0,0,2.0,,A,<p>All sports require equipment.</p><p>Talking is not a sport.</p>,4,93
69594,55,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,82.0,97.0,5440.29999995232,1134.5,1,0,1,0,0,15.0,-4305.79999995232,A,<p>All humans have two legs.</p><p>Leg amputees do not have two legs.</p>,3,54
69594,56,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,87.0,100.0,4334.5,780.5,0,1,1,0,0,13.0,-3554.0,A,<p>All Hult countries are cold.</p><p>Qatar is not a Hult country.</p>,5,48
