"sona_id","age","gender","condition","content","stimulus","type","validity","believability","conflict","qnum","total_qnum","response_int","response_ref","correct_int","correct_ref","rt_int","rt_ref","logRT_int","logRT_ref","for_int","for_ref","responseChange","trial_num","statementEval"
"69593",21,"Female","B","Standard","<p>All Scandinavian countries are cold.</p><p>Qatar is not a Scandinavian country.</p>","DA","Invalid","Believable","Conflict","5",85,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"69593",21,"Female","B","Neutral","<p>All African countries are clett.</p><p>The North Pole is not clett.</p>","MT","Valid","Believable","No-conflict","1",1,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10
"69593",21,"Female","B","Neutral","<p>All smolns are solid.</p><p>Ceramic is not a smoln.</p>","DA","Invalid","Unbelievable","No-conflict","1",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
"69593",21,"Female","B","Neutral","<p>All taizes have wheels.</p><p>Trolley suitcases are not taizes.</p>","DA","Invalid","Unbelievable","No-conflict","2",98,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
"69593",21,"Female","B","Neutral","<p>All sweabes have two legs.</p><p>Leg amputees are sweabes.</p>","MP","Valid","Unbelievable","Conflict","2",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
"69593",21,"Female","B","Standard","<p>All citruses are sour.</p><p>Mandarins are citruses.</p>","MP","Valid","Unbelievable","Conflict","8",15,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8
"69593",21,"Female","B","Neutral","<p>All humans have frelns.</p><p>Amputees don't have frelns.</p>","MT","Valid","Unbelievable","Conflict","3",49,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
"69593",21,"Female","B","Neutral","<p>All things made of metal kring.</p><p>Diamonds kring.</p>","AC","Invalid","Unbelievable","No-conflict","3",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0
"69593",21,"Female","B","Standard","<p>All reptiles have legs.</p><p>Snakes are reptiles.</p>","MP","Valid","Unbelievable","Conflict","5",83,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0
"69593",21,"Female","B","Neutral","<p>All greembs have roots.</p><p>Oaks are greembs.</p>","MP","Valid","Believable","No-conflict","2",45,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4
"69593",21,"Female","B","Neutral","<p>All Strish countries are warm.</p><p>The North Pole is not a Strish country.</p>","DA","Invalid","Believable","Conflict","2",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10
"69593",21,"Female","B","Neutral","<p>All things that need meiv have lungs.</p><p>Fire needs meiv.</p>","MP","Valid","Unbelievable","Conflict","4",111,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0
"69593",21,"Female","B","Standard","<p>All trees have branches.</p><p>Maples are trees.</p>","MP","Valid","Believable","No-conflict","6",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0
"69593",21,"Female","B","Neutral","<p>All hirks can walk.</p><p>Whales are hirks.</p>","MP","Valid","Unbelievable","Conflict","1",46,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0
"69593",21,"Female","B","Neutral","<p>All dogs have zems.</p><p>Labradors have zems.</p>","AC","Invalid","Believable","Conflict","4",21,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,10
"69593",21,"Female","B","Neutral","<p>All vehicles have phrods.</p><p>Trolley suitcases have phrods.</p>","AC","Invalid","Unbelievable","No-conflict","1",122,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0
"69593",21,"Female","B","Standard","<p>All flowers need air.</p><p>Daisies are flowers.</p>","MP","Valid","Believable","No-conflict","5",24,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,17,9
"69593",21,"Female","B","Standard","<p>All birds have feathers.</p><p>Parrots have feathers.</p>","AC","Invalid","Believable","Conflict","7",10,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,10
"69593",21,"Female","B","Standard","<p>All cycling requires shoes.</p><p>Swimming does not require shoes.</p>","MT","Valid","Believable","No-conflict","7",17,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,10
"69593",21,"Female","B","Neutral","<p>All mammals can jaut.</p><p>Lizards can jaut.</p>","AC","Invalid","Unbelievable","No-conflict","2",65,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0
"69593",21,"Female","B","Standard","<p>All plants are green.</p><p>Mushroom are not plants.</p>","DA","Invalid","Believable","Conflict","6",78,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,21,5
"69593",21,"Female","B","Standard","<p>All plants need sunlight.</p><p>Solar panels are not plants.</p>","DA","Invalid","Unbelievable","No-conflict","8",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0
"69593",21,"Female","B","Neutral","<p>All gheshes have snouts.</p><p>Labradors are gheshes.</p>","MP","Valid","Believable","No-conflict","3",37,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,23,5
"69593",21,"Female","B","Standard","<p>All fruits are sweet.</p><p>Lemon is a fruit.</p>","MP","Valid","Unbelievable","Conflict","7",30,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,24,10
"69593",21,"Female","B","Neutral","<p>All nusks can be eaten.</p><p>Knives are not nusks.</p>","DA","Invalid","Believable","Conflict","1",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,10
"69593",21,"Female","B","Standard","<p>All humans have skin.</p><p>Newborns have skin.</p>","AC","Invalid","Believable","Conflict","8",52,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,26,10
"69593",21,"Female","B","Standard","<p>All flowers need air.</p><p>Daisies need air.</p>","AC","Invalid","Believable","Conflict","5",25,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,27,10
"69593",21,"Female","B","Standard","<p>All mammals have fur.</p><p>Hedgehogs don't have fur.</p>","MT","Valid","Unbelievable","Conflict","5",69,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0
"69593",21,"Female","B","Neutral","<p>All trees have snurfs.</p><p>Oaks have snurfs.</p>","AC","Invalid","Believable","Conflict","1",119,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,29,10
"69593",21,"Female","B","Neutral","<p>All birds can chid.</p><p>Penguins cannot chid.</p>","MT","Valid","Unbelievable","Conflict","1",6,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10
"69593",21,"Female","B","Neutral","<p>All krirks need water.</p><p>Roses are krirks.</p>","MP","Valid","Believable","No-conflict","1",59,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,31,10
"69593",21,"Female","B","Neutral","<p>All things that are nank are bad for your health.</p><p>Salad is not nank.</p>","DA","Invalid","Believable","Conflict","3",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,9
"69593",21,"Female","B","Standard","<p>All fuel is liquid.</p><p>Coal is not a liquid.</p>","MT","Valid","Unbelievable","Conflict","6",35,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,33,0
"69593",21,"Female","B","Neutral","<p>All things made of wood can be zabbed.</p><p>Trees can be zabbed.</p>","AC","Invalid","Believable","Conflict","3",105,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,34,10
"69593",21,"Female","B","Standard","<p>All metal is hard to break.</p><p>Bricks are not metal.</p>","DA","Invalid","Unbelievable","No-conflict","7",72,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,35,9
"69593",21,"Female","B","Neutral","<p>All fruits can be feffed.</p><p>Knives cannot be feffed.</p>","MT","Valid","Believable","No-conflict","2",33,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,10
"69593",21,"Female","B","Standard","<p>All lava is liquid.</p><p>Water is not lava.</p>","DA","Invalid","Unbelievable","No-conflict","6",61,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,0
"69593",21,"Female","B","Standard","<p>All metal is hard to break.</p><p>Aluminum foil is not hard to break.</p>","MT","Valid","Unbelievable","Conflict","7",71,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,0
"69593",21,"Female","B","Neutral","<p>All greembs have four limbs.</p><p>Snakes are greembs.</p>","MP","Valid","Unbelievable","Conflict","3",44,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,0
"69593",21,"Female","B","Standard","<p>All birds have feathers.</p><p>Parrots are birds.</p>","MP","Valid","Believable","No-conflict","7",9,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,10
"69593",21,"Female","B","Neutral","<p>All gnapting require equipment.</p><p>Talking is not gnapting.</p>","DA","Invalid","Believable","Conflict","4",41,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,10
"69593",21,"Female","B","Neutral","<p>All trees will become crill.</p><p>Skyscrapers under construction will become crill.</p>","AC","Invalid","Unbelievable","No-conflict","4",120,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,0
"69593",21,"Female","B","Standard","<p>All glass objects are fragile.</p><p>Sofas are not fragile.</p>","MT","Valid","Believable","No-conflict","8",39,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,43,10
"69593",21,"Female","B","Standard","<p>All cycling requires shoes.</p><p>Swimming is not cycling.</p>","DA","Invalid","Believable","Conflict","7",18,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,44,10
"69593",21,"Female","B","Neutral","<p>All sports require gnourns.</p><p>Talking does not require gnourns.</p>","MT","Valid","Believable","No-conflict","3",94,"No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,0
"69593",21,"Female","B","Standard","<p>All trees have branches.</p><p>Maples have branches.</p>","AC","Invalid","Believable","Conflict","6",115,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,46,6
"69593",21,"Female","B","Standard","<p>All vehicles need fuel.</p><p>Bicycles do not need fuel.</p>","MT","Valid","Unbelievable","Conflict","8",125,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,0
"69593",21,"Female","B","Neutral","<p>All metals are hwill.</p><p>Mercury is not hwill.</p>","MT","Valid","Unbelievable","Conflict","2",74,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,48,5
"69593",21,"Female","B","Standard","<p>All Scandinavian countries are cold.</p><p>Indonesia is not cold.</p>","MT","Valid","Believable","No-conflict","5",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,0
"69593",21,"Female","B","Neutral","<p>All broans can fly.</p><p>Planes are not broans.</p>","DA","Invalid","Unbelievable","No-conflict","4",12,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0
"69593",21,"Female","B","Neutral","<p>All things that are smoked are rorg.</p><p>Salad is not rorg.</p>","MT","Valid","Believable","No-conflict","4",109,"No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,5
"69593",21,"Female","B","Standard","<p>All lava is liquid.</p><p>Water is liquid.</p>","AC","Invalid","Unbelievable","No-conflict","7",60,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,52,0
"69593",21,"Female","B","Standard","<p>All animals can move.</p><p>Mushrooms cannot move.</p>","MT","Valid","Believable","No-conflict","6",4,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,53,10
"69593",21,"Female","B","Neutral","<p>All flowers need vak.</p><p>Roses need vak.</p>","AC","Invalid","Believable","Conflict","2",27,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,54,10
"69593",21,"Female","B","Standard","<p>All plants need sunlight.</p><p>Solar panels need sunlight.</p>","AC","Invalid","Unbelievable","No-conflict","8",81,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,55,0
"69593",21,"Female","B","Standard","<p>All mammals have teeth.</p><p>Sharks are not mammals.</p>","DA","Invalid","Unbelievable","No-conflict","5",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,0
"69593",21,"Female","B","Standard","<p>All glass objects are fragile.</p><p>Hammers are not made of glass.</p>","DA","Invalid","Believable","Conflict","8",38,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,57,0
"69593",21,"Female","B","Neutral","<p>All things made of metal are rondsy.</p><p>Old pennies are not rondsy.</p>","MT","Valid","Unbelievable","Conflict","4",99,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,58,0
"69593",21,"Female","B","Standard","<p>All humans have skin.</p><p>Newborns are human.</p>","MP","Valid","Believable","No-conflict","8",51,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,59,10
