subject_id,sequence,item_id,task_type,task_formal,model_task_index,model_premise_1,model_premise_2,number_models_generated,model_merge_status,model_premises_match
63873,1,125,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,2,17,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,3,49,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63873,4,7,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,5,105,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,6,73,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,7,120,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,8,6,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,9,60,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63873,10,35,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,11,69,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,12,63,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63873,13,28,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,14,82,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,15,79,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,16,90,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,17,112,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,18,31,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,19,20,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63873,20,111,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,21,22,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,22,18,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63873,23,68,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,24,110,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,25,13,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,26,101,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,27,2,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,28,58,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,29,15,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,30,100,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,31,83,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,32,8,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63873,33,116,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63873,34,51,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,35,76,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,36,67,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,37,16,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,38,29,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,39,23,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63873,40,3,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,41,36,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,42,115,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,43,99,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63873,44,66,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,45,75,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,46,26,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,47,113,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,48,57,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63873,49,64,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,50,27,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63873,51,50,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,52,81,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,53,5,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,54,121,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
